Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,Preferred Course,Preferred Country,University Name
346,316,98,1,1.5,2.0,7.43,0,0.49,Electrical Engineering,USA,University 20
347,304,97,2,1.5,2.0,7.64,0,0.47,Computer Science,Canada,University 42
348,299,94,1,1.0,1.0,7.34,0,0.42,Electrical Engineering,Canada,University 12
349,302,99,1,2.0,2.0,7.25,0,0.57,Electrical Engineering,USA,University 47
350,313,101,3,2.5,3.0,8.04,0,0.62,Electrical Engineering,USA,University 27
351,318,107,3,3.0,3.5,8.27,1,0.74,Data Science,USA,University 42
352,325,110,4,3.5,4.0,8.67,1,0.73,Mechanical,Canada,University 7
353,303,100,2,3.0,3.5,8.06,1,0.64,Data Science,Germany,University 26
354,300,102,3,3.5,2.5,8.17,0,0.63,Mechanical,Germany,University 1
355,297,98,2,2.5,3.0,7.67,0,0.59,Data Science,Canada,University 47
356,317,106,2,2.0,3.5,8.12,0,0.73,Computer Science,Canada,University 46
357,327,109,3,3.5,4.0,8.77,1,0.79,Computer Science,Germany,University 21
358,301,104,2,3.5,3.5,7.89,1,0.68,Computer Science,USA,University 45
359,314,105,2,2.5,2.0,7.64,0,0.7,Data Science,Canada,University 8
360,321,107,2,2.0,1.5,8.44,0,0.81,Computer Science,USA,University 14
361,322,110,3,4.0,5.0,8.64,1,0.85,Electrical Engineering,Germany,University 18
362,334,116,4,4.0,3.5,9.54,1,0.93,Data Science,USA,University 27
363,338,115,5,4.5,5.0,9.23,1,0.91,Electrical Engineering,Germany,University 48
364,306,103,2,2.5,3.0,8.36,0,0.69,Data Science,Germany,University 11
365,313,102,3,3.5,4.0,8.9,1,0.77,Electrical Engineering,Australia,University 36
366,330,114,4,4.5,3.0,9.17,1,0.86,Computer Science,Australia,University 3
367,320,104,3,3.5,4.5,8.34,1,0.74,Mechanical,Germany,University 49
368,311,98,1,1.0,2.5,7.46,0,0.57,Computer Science,USA,University 16
369,298,92,1,2.0,2.0,7.88,0,0.51,Electrical Engineering,Canada,University 35
370,301,98,1,2.0,3.0,8.03,1,0.67,Data Science,Germany,University 33
371,310,103,2,2.5,2.5,8.24,0,0.72,Computer Science,Canada,University 39
372,324,110,3,3.5,3.0,9.22,1,0.89,Mechanical,UK,University 9
373,336,119,4,4.5,4.0,9.62,1,0.95,Data Science,Germany,University 47
374,321,109,3,3.0,3.0,8.54,1,0.79,Mechanical,USA,University 7
375,315,105,2,2.0,2.5,7.65,0,0.39,Computer Science,Canada,University 8
376,304,101,2,2.0,2.5,7.66,0,0.38,Computer Science,Australia,University 49
377,297,96,2,2.5,2.0,7.43,0,0.34,Electrical Engineering,Canada,University 37
378,290,100,1,1.5,2.0,7.56,0,0.47,Electrical Engineering,Canada,University 30
379,303,98,1,2.0,2.5,7.65,0,0.56,Data Science,Australia,University 42
380,311,99,1,2.5,3.0,8.43,1,0.71,Mechanical,UK,University 43
381,322,104,3,3.5,4.0,8.84,1,0.78,Data Science,Germany,University 37
382,319,105,3,3.0,3.5,8.67,1,0.73,Mechanical,Australia,University 5
383,324,110,4,4.5,4.0,9.15,1,0.82,Mechanical,USA,University 32
384,300,100,3,3.0,3.5,8.26,0,0.62,Mechanical,USA,University 18
385,340,113,4,5.0,5.0,9.74,1,0.96,Electrical Engineering,USA,University 3
386,335,117,5,5.0,5.0,9.82,1,0.96,Data Science,Germany,University 34
387,302,101,2,2.5,3.5,7.96,0,0.46,Data Science,Canada,University 13
388,307,105,2,2.0,3.5,8.1,0,0.53,Computer Science,UK,University 4
389,296,97,2,1.5,2.0,7.8,0,0.49,Computer Science,Canada,University 1
390,320,108,3,3.5,4.0,8.44,1,0.76,Electrical Engineering,UK,University 25
391,314,102,2,2.0,2.5,8.24,0,0.64,Electrical Engineering,USA,University 50
392,318,106,3,2.0,3.0,8.65,0,0.71,Electrical Engineering,USA,University 46
393,326,112,4,4.0,3.5,9.12,1,0.84,Computer Science,Australia,University 1
394,317,104,2,3.0,3.0,8.76,0,0.77,Data Science,USA,University 10
395,329,111,4,4.5,4.0,9.23,1,0.89,Data Science,Germany,University 22
396,324,110,3,3.5,3.5,9.04,1,0.82,Electrical Engineering,USA,University 5
397,325,107,3,3.0,3.5,9.11,1,0.84,Electrical Engineering,Australia,University 39
398,330,116,4,5.0,4.5,9.45,1,0.91,Computer Science,Australia,University 2
399,312,103,3,3.5,4.0,8.78,0,0.67,Electrical Engineering,UK,University 9
400,333,117,4,5.0,4.0,9.66,1,0.95,Mechanical,UK,University 42
